global_rank,feature,gain,gain_share_percent
1,V14,7692.87451171875,48.400622534682284
2,V10,995.0206909179688,6.2602894148288275
3,V4,966.79638671875,6.0827128936247625
4,V8,608.2742309570312,3.8270286880771853
5,V12,568.4922485351562,3.576735678364182
6,V20,432.42962646484375,2.720681728456063
7,V19,424.74578857421875,2.6723379608831874
8,V7,323.7090759277344,2.0366536294283812
9,V11,313.34100341796875,1.9714216848291364
10,V3,290.1877746582031,1.825750429701618
11,V13,234.52516174316406,1.4755425700919311
12,V17,214.12245178222656,1.3471765266838853
13,V18,210.32398986816406,1.3232780579080272
14,V26,207.0520477294922,1.3026922500714455
15,V2,204.99456787109375,1.2897473741544712
16,V22,199.2928009033203,1.2538740383334421
17,Amount,199.27650451660156,1.2537715077044747
18,V5,185.22547912597656,1.1653678329635315
19,V16,182.35873413085938,1.1473313704942045
20,V1,175.53750610351562,1.1044148140793648
21,V15,174.53514099121094,1.0981083163757186
22,V23,168.14031982421875,1.0578745487497296
23,V6,154.19143676757812,0.9701135144866023
24,V9,131.36180114746094,0.8264781835618091
25,V25,130.92518615722656,0.8237311691261613
26,V21,130.05606079101562,0.8182629649170308
27,V27,115.51587677001953,0.7267816912639893
28,V28,99.43586730957031,0.6256124252030721
29,V24,96.4273452758789,0.6066839558619754
30,Time,64.9947738647461,0.408922245093502
