scenario,scenario_type,source_row_id,ml_fraud_probability,high_transaction_velocity,unusual_device,unusual_region,high_transaction_amount,high_amount_deviation,behavioral_rule_points,ml_risk_points,risk_score,risk_level,triggered_rules,rule_details
Normal transaction (no behavioral rules),saved Phase 3 transaction,266961,4.592002e-09,False,False,False,False,False,0,2.755201e-07,0.0,LOW,None,High Transaction Velocity: triggered=False; points=0; explanation=Synthetic velocity is below the demo threshold. | Unusual Device: triggered=False; points=0; explanation=Synthetic device matches this demo user's usual device. | Unusual Region: triggered=False; points=0; explanation=Synthetic region matches this demo user's usual region. | High Transaction Amount: triggered=False; points=0; explanation=Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63). | High Amount Deviation: triggered=False; points=0; explanation=Synthetic amount is below 3.0 times the synthetic historical average.
High ML probability with no behavioral rules,saved Phase 3 transaction,77099,0.9998367,False,False,False,False,False,0,59.9902,59.99,HIGH,None,High Transaction Velocity: triggered=False; points=0; explanation=Synthetic velocity is below the demo threshold. | Unusual Device: triggered=False; points=0; explanation=Synthetic device matches this demo user's usual device. | Unusual Region: triggered=False; points=0; explanation=Synthetic region matches this demo user's usual region. | High Transaction Amount: triggered=False; points=0; explanation=Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63). | High Amount Deviation: triggered=False; points=0; explanation=Synthetic amount is below 3.0 times the synthetic historical average.
Low ML probability with one behavioral rule,saved Phase 3 transaction,116065,1.0523915e-08,False,False,True,False,False,15,6.314349e-07,15.0,LOW,Unusual Region,High Transaction Velocity: triggered=False; points=0; explanation=Synthetic velocity is below the demo threshold. | Unusual Device: triggered=False; points=0; explanation=Synthetic device matches this demo user's usual device. | Unusual Region: triggered=True; points=15; explanation=Synthetic region differs from this demo user's usual region. | High Transaction Amount: triggered=False; points=0; explanation=Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63). | High Amount Deviation: triggered=False; points=0; explanation=Synthetic amount is below 3.0 times the synthetic historical average.
High Transaction Velocity alone,saved Phase 3 transaction,23637,3.042879e-08,True,False,False,False,False,20,1.8257274e-06,20.0,LOW,High Transaction Velocity,High Transaction Velocity: triggered=True; points=20; explanation=Synthetic velocity is at least 6 transactions in the demo window. | Unusual Device: triggered=False; points=0; explanation=Synthetic device matches this demo user's usual device. | Unusual Region: triggered=False; points=0; explanation=Synthetic region matches this demo user's usual region. | High Transaction Amount: triggered=False; points=0; explanation=Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63). | High Amount Deviation: triggered=False; points=0; explanation=Synthetic amount is below 3.0 times the synthetic historical average.
Unusual Device alone,saved Phase 3 transaction,191481,1.2162657e-08,False,True,False,False,False,20,7.297594e-07,20.0,LOW,Unusual Device,High Transaction Velocity: triggered=False; points=0; explanation=Synthetic velocity is below the demo threshold. | Unusual Device: triggered=True; points=20; explanation=Synthetic device differs from this demo user's usual device. | Unusual Region: triggered=False; points=0; explanation=Synthetic region matches this demo user's usual region. | High Transaction Amount: triggered=False; points=0; explanation=Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63). | High Amount Deviation: triggered=False; points=0; explanation=Synthetic amount is below 3.0 times the synthetic historical average.
Unusual Region alone,saved Phase 3 transaction,116065,1.0523915e-08,False,False,True,False,False,15,6.314349e-07,15.0,LOW,Unusual Region,High Transaction Velocity: triggered=False; points=0; explanation=Synthetic velocity is below the demo threshold. | Unusual Device: triggered=False; points=0; explanation=Synthetic device matches this demo user's usual device. | Unusual Region: triggered=True; points=15; explanation=Synthetic region differs from this demo user's usual region. | High Transaction Amount: triggered=False; points=0; explanation=Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63). | High Amount Deviation: triggered=False; points=0; explanation=Synthetic amount is below 3.0 times the synthetic historical average.
High Amount Deviation alone,saved Phase 3 transaction,146864,2.734203e-08,False,False,False,False,True,20,1.6405219e-06,20.0,LOW,High Amount Deviation,High Transaction Velocity: triggered=False; points=0; explanation=Synthetic velocity is below the demo threshold. | Unusual Device: triggered=False; points=0; explanation=Synthetic device matches this demo user's usual device. | Unusual Region: triggered=False; points=0; explanation=Synthetic region matches this demo user's usual region. | High Transaction Amount: triggered=False; points=0; explanation=Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63). | High Amount Deviation: triggered=True; points=20; explanation=Synthetic amount is at least 3.0 times the synthetic historical average.
Multiple behavioral signals,saved Phase 3 transaction,58313,1.472302e-08,True,True,False,False,False,40,8.8338123e-07,40.0,MEDIUM,High Transaction Velocity; Unusual Device,High Transaction Velocity: triggered=True; points=20; explanation=Synthetic velocity is at least 6 transactions in the demo window. | Unusual Device: triggered=True; points=20; explanation=Synthetic device differs from this demo user's usual device. | Unusual Region: triggered=False; points=0; explanation=Synthetic region matches this demo user's usual region. | High Transaction Amount: triggered=False; points=0; explanation=Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63). | High Amount Deviation: triggered=False; points=0; explanation=Synthetic amount is below 3.0 times the synthetic historical average.
High ML probability plus behavioral signals,saved Phase 3 transaction,215984,0.9999875,False,False,True,False,True,35,59.99925,95.0,HIGH,Unusual Region; High Amount Deviation,High Transaction Velocity: triggered=False; points=0; explanation=Synthetic velocity is below the demo threshold. | Unusual Device: triggered=False; points=0; explanation=Synthetic device matches this demo user's usual device. | Unusual Region: triggered=True; points=15; explanation=Synthetic region differs from this demo user's usual region. | High Transaction Amount: triggered=False; points=0; explanation=Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63). | High Amount Deviation: triggered=True; points=20; explanation=Synthetic amount is at least 3.0 times the synthetic historical average.
Boundary: 24.99,in-memory mathematical test (not a transaction),N/A,0.4165,False,False,False,False,False,0,24.99,24.99,LOW,None,High Transaction Velocity: triggered=False; points=0; explanation=Mathematical test input; no transaction explanation applies. | Unusual Device: triggered=False; points=0; explanation=Mathematical test input; no transaction explanation applies. | Unusual Region: triggered=False; points=0; explanation=Mathematical test input; no transaction explanation applies. | High Transaction Amount: triggered=False; points=0; explanation=Mathematical test input; no transaction explanation applies. | High Amount Deviation: triggered=False; points=0; explanation=Mathematical test input; no transaction explanation applies.
